,content
10,"[KDB Insight] 국제금융시장, 7월 동향과 8월 전망!KDB미래전략연구소에서 발표한국제금융시장 전망을 지금 확인해보세요!#KDB #산업은행 #국제금융시장 #글로벌금융 #글로벌경제 #주가 #환율 #금리 #금융 #기준금리"
11,"8월 17일, 매경은 어떤 소식을 가져왔을까요?매일경제 스레드에서도 함께 보실 수 있습니다#공직사회 #공무원 #MZ세대 #MZ공무원 #현대차 #기아 #한미일정상회의 #윤석열대통령 #네이버 #하이퍼클로바X #노동시장 #인구감소 #구직활동 #산업은행 #부산 #가덕도신공항 #매일경제 #매경 #MK #MKNEWS #뉴스 #신문"
12,"[홍파스] 후쿠시마 원전 오염수로 인한 #소금재테크 가능할까?🤔ㅤ오염수 우려로 #소금 구매가 급증하고, 천일염 매출이 증가하며 소금 관련 주가도 상승했다고 해요.홍파스와 함께 천일염 품귀 현상과 정부 대책, 관련주 소식까지 알아보아요 🔍ㅤ*본 콘텐츠는 KDB산업은행 홍보 파트너스 6기가 직접 제작한 콘텐츠입니다.ㅤ#KDB산업은행 #산업은행 #KDB #천일염 #금값 #투자 #후쿠시마원전 #오염수방류 #홍파스 #홍보파트너스 #홍파스6기 #서포터즈 #대학생서포터즈"
13,<#KDB 이슈 브리프>슈퍼 #엘니뇨 로 인해#애그플레이션 경고등이 켜졌습니다!우리는 어떻게 원자재 수급 관리를 해야 할까요?지금 확인해보세요!#산업은행 #경제 #세계경제 #글로벌 #글로벌경제#원자재 #곡물 #에너지자원 #원자재 #인플레이션
14,"민주당 ""엑스포  망언 기자회견""오늘 기자회견은 ""2030부산 엑스포"" ""산업은행 부산이전""등 부산의 현안에 대해 반대를 이어가고있는 민주당에 대해 강력한 경고를 전하고자 마련되었다.이번 잼버리 사태를 계기로 ""2030부산엑스포 ""유치전략을 재점검하고 부산을 넘어 모든 국민들이 하나가 되어 대한민국의 진짜 저력을 전 세계에 보여주길 바란다.#김광명의원 #부산시의회 #부산엑스포 #산업은행 #국민의힘"
15,"#강만수 #사면 #광복절역대 최악의 경제 부총리 ㅎㅎㅎ 코레아 보수의 경제정책....우선 망하게 개입한다...그리고 양털깍기서브프라임모기지 이명박 #산업은행 비리 도이치모터스 최은순 김건희 윤석열이명박 정부 시절 #기획재정부 장관 겸 경제부총리로 재직하며 '고환율 정책'과 이후 #환율 방어를 위해 대량으로 #달러 를 쏟아부은 이른바'한은포 사태'를 만들었던 강만수. 그는 이후 산업은행 총재를 지냈다가 특혜 비리로 인해 2016년에 구속됐었다.기획재정부 장관 겸 경제부총리를 지냈던 강만수는 퇴임 이후 산업은행 총재를 지냈다. 그러나 이후 여러 특혜 #비리 가 문제되어 2016년에 #구속 되었다.​이런 강만수의 최측근인 인물이 최상목인데 윤석열 대통령의 인수위 경제1분과 간사였고, 현재 대통령실 경제수석이다.추경호 장관은 허수아비일 뿐 사실상 현 윤석열 정부의 경제수장은 최상목이라 할 수 있다.​강만수가 산업은행 총재로 재직할 당시 산업은행은 #도이치모터스 의 분리형 BW가 딸린 #주식 250억 원어치를 샀다​문제는 강만수가 산업은행 총재이던 시기와 김건희 여사가 도이치모터스 주가조작을 저지르던 시기가 일치한다는 사실이다. ​이 시기 산업은행이 도이치모터스의 분리형 BW가 딸린 주식을 샀기 때문이다. 산업은행이 수입차 딜러일 뿐인 회사 주식을 그것도 250억원이나 산다는 사실을 선뜻 납득하긴 힘들 것이다.​​"
16,"💡알고보면 더 재미있는 IB_산업은행💡⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀자세히보기⠀⠀⠀⠀⠀⠀⠀⠀↓↓↓↓↓↓↓↓↓↓↓⠀⠀⠀⠀⠀⠀⠀⠀<(국책은행 현주소)①산업은행, 당면과제 첩첩산중인데…부산행 강행>자본적정성 하락 지속에 대출 여력 감소부산 이전 강행에 직원 이탈 가속화 우려https://lrl.kr/fexaIB토마토에 방문해 더욱 다양하고 자세한 기사를 확인하세요📰⠀⠀⠀⠀#IB토마토 #아이비토마토 #경제뉴스 #경제신문 #경제기사 #주식거래 #기업등급 #기업평가 #산업은행 #국책은행 #자본적정성 #KDB생명 #매각"
17,"[홍파스] 서울시 교통비가 인상됩니다😥ㅤ버스 요금은 8월, 지하철은 10월 인상을 앞두고 있는 시점!교통비 부담을 덜어내고,절약할 수 있는 방법 없을까요? 🧐ㅤ알뜰교통카드 등 서울시 교통비슬기롭게 소비하는 꿀TIP 홍파스가 알려드릴게요🚌ㅤ*본 콘텐츠는 KDB산업은행 홍보 파트너스 6기가 직접 제작한 콘텐츠입니다.ㅤ#KDB산업은행 #산업은행 #KDB #교통비 #택시 #버스 #지하철 #교통 #요금 #알뜰교통카드 #조조할인 #환승 #정기권 #홍파스 #홍보파트너스 #홍파스6기 #서포터즈 #대학생서포터즈"
18,"🏦 하긴, 나도 태풍뚫고 출근한 K직장인인데 뭘 바라겠어 😭..👩🏻‍💼👨🏻‍💼👩🏻‍💻👨🏻‍💻#서뱅크 #사람들이잘모르는은행이야기 #은행원-#날씨가안좋을땐오늘할일을내일로미룹시다#태풍폭우폭설엔집에있는겁니다 #나오지마세요#전쟁이났대도이번달적금넣으러올것같애#퇴근하고싶습니다-#농협 #신한은행 #우리은행 #국민은행 #대구은행 #기업은행#새마을금고 #우체국 #하나은행 #신협 #산업은행 #경남은행#전북은행 #수협 #부산은행 #제주은행 #광주은행"
19,너의 이름은 매미....공원이 주는 고마움 잊지 않을꺼야 #여의도공원 #산업은행 #매미 #매미탈피 #뜨거운여름날 #매일봐도다른풍경 #산업은행하훼공원 #벌레한테물림 #소소한일상 #s23
20,⭐ 8월 맞이 8(팔)로우 이벤트 ⭐8월을 맞아 산업은행 인스타그램 8(팔)로우 이벤트를 진행합니다!1. 산업은행 인스타그램 팔로우하기2. 댓글로 ‘팔로우 완료’ 적어주기3. 최대한 많은 친구들을 댓글로 소환하면 당첨 확률 UP팔로우 하신 분들 중 추첨을 통해총 10명에게 시원한 아이스 아메리카노를 쏩니다 ♥️💝당첨 물품 : 스타벅스 아이스 아메리카노 Tall 쿠폰 1개 💝기간 : 8월 9일 (수) ~ 8월 19일 (토)💝당첨자 발표 : 8월 21일 (월)  > 당첨자 발표는 개별 DM을 통해 진행됩니다. (당첨자에게만 통보)✅ 유의사항- 산업은행 인스타그램 팔로워를 대상으로 진행됩니다.- 댓글은 아이디 1개당 1개만 인정됩니다.- 비공개 계정은 이벤트 대상에서 제외될 수 있습니다.#이벤트 #event #댓글이벤트 #팔로우이벤트 #8월이벤트#기프티콘 #커피키프티콘 #스타벅스기프티콘 #KDB #산업은행
21,"[홍파스] ☔올해 여름, 장마철 역대급 폭우로 많은 피해가 발생했어요.😥ㅤ장마는 끝났다고 하지만 💧2차 장마나 🌪북상 중인 태풍 카눈으로 방심할 수 없는데요❗ㅤ홍파스가 알려드리는 서울시 폭우 대비책을 참고하셔서 추가 피해가 없도록 예방하고 안전에 유의하시길 바랍니다.ㅤ*본 콘텐츠는 KDB산업은행 홍보 파트너스 6기가 직접 제작한 콘텐츠입니다.ㅤ#KDB산업은행 #산업은행 #KDB #태풍 #장마 #폭우 #집중호우 #장대비 #엘니뇨 #태풍조심 #장마대비 #침수 #누전차단기 #배수로 #대피소 #비상용품 #홍파스 #홍보파트너스 #홍파스6기 #서포터즈 #대학생서포터즈"
22,"금융부담을 줄이고, 희망을 키웁니다!소비자의 금융부담을 덜고취약계층 지원을 위한 ""상생금융""에KDB 산업은행이 함께 합니다 :)상생금융에 관한 자세한 내용은아래 링크를 통해 확인해 보세요!⬇️⬇️⬇️https://youtu.be/jSXyoZd2H5Uhttps://youtu.be/Cke5SEjTWZ8#상생금융 #산업은행 #금융감독원 #은행연합회 #금융 #금융지원"
23,"● 5대 금융그룹, 상반기 최대 실적● [인포맥스 POLL] 달러-원 7월보다 하락● 산업은행 노조, ‘부산이전’ 정면 반박● 금융감독원, DART 영문공시 개선● 미국 6월 물가지수, 2년만에 최저원본기사 = 박준형 이현정 이규선 윤영숙 한상민 기자 / 뉴스요약 = 정유나 인턴기자#연합인포맥스 #yonhapinfomax #경제 #경제뉴스 #뉴스 #news #농협은행 #kb국민은행 #신한은행 #우리은행 #하나은행 #은행 #주식 #이익 #환율 #fed #산업은행 #dart #금융감독원 #pce #인플레이션 #물가 #인포투데이"
24,#KDB 미래전략연구소와 함께 알아보는「금융과 빅테크 기업 트렌드」!첨단 기술과 플랫폼 서비스 등을 기반으로온라인상에서 다양한 서비스를 제공하는 대형 IT 기업을의미하는 #빅테크 기업!이들이 현재 금융시장에서 어떤 변화를이뤄내고 있는지 확인해보세요!#산업은행 #금융 #산업 #경제 #글로벌기업 #IT #금융시장 #금융트렌드 #애플 #네이버 #쿠팡
25,이걸 뚫었습니다.. 이걸.. 이걸…믿어지지 않아요..산업은행 본점이 집 근처라 공부하기 싫을 때마다 자주 가서 한참 보고 오기도 하고 굳이굳이ㅜ거기 옆에서 산책하고 사진도 찍고 했는데 들어갈 수는 없엇어요.. 관계자가 아니라서 ㅋ.. 근데 오늘 드디어!!!!!!!! 면접보러 오래요… 드디어… !!!!!!! 산은 본점… 들어가본다 …. 으악… 눈물만 흘러…엉엉…_1학년 때부터 이 순간을 100번도 넘게 상상햇는데 현실이ㅠ될줄야 .. 솔직히 기대 안 했다고 하면 거짓말이긴 한데 그냥 계속  떨어질 거라고 세뇌 시키고 잇엏음.. 근데 어인일이고… 너무 행복하다 … 이왕 이렇게 된김에 면접도 보고 올게요 ㅎ.. 면접비 받으러^^… 헐… 설마 안 주나…? 모르겟다 아무튼 면접은 진ㅉㅏ 자신 XXXXXXX_서류 20배수 필기 6배수 였고.. 나 아직도 손 떨림 진짜.. 보자마자 눈물부터 나와서 독서실에 있다가 뛰쳐나와서 집에 전화하고 난리ㅜ침ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ … 어쩌다보니 나와의 약속을 지켜버렸다… !!!!!!!! 감격스럽구먼..멍멍… #산업은행 #감사합니다 알러뷰……
26,"정부가 KDB산업은행 기능 100%를 부산으로 이전하기로 했다. 산은이 정책금융 기능 강화를 위해 실시한 용역 결과에 따른 결론이다. 산은 이전에 미온적 태도를 보이고 있는 더불어민주당이 본점 부산 이전을 위한 산업은행법 개정에 적극 나서야 한다는 요구도 커진다. 용역 결과 부산 이전으로 산은 경쟁력이 약화할 것이라는 주장이 명분을 잃었기 때문이다.금융위원회와 산은은 27일 ‘산은의 정책금융 역량 강화를 위한 컨설팅’ 용역 결과를 국회에 보고했다. 산은은 국정과제인 부산 이전이 정책금융 경쟁력에 미치는 영향을 살펴보기 위해 지난 3월부터 이번 용역을 진행했다. 이 용역은 지방시대위원회의 산은 부산 이전 계획안 심의·의결의 자료로 활용된다.용역은 부산 이전 방식과 관련, ‘지역성장 중심형(100% 이전)’과 ‘금융수요 중심형(일부 기능 이전)’ 2가지 방안을 제시했다. 금융위와 산은은 이중 지역성장형 이전 방식을 채택하고 지방시대위에 제출할 이전계획안에 담기로 했다. 지역성장형은 부산 본점이 경영 의사결정과 영업·지원 기능을 하는 완전한 이전 방식이다. 이에 대해 용역은 “9개 부문 전체 및 예하 본부 이전으로 부산 본점의 기능 완비 및 위상이 확립될 것”이라고 분석했다. 부산 본점을 중심으로 혁신기업 발굴·육성 등을 위한 권역별 거점 센터 확대안도 담았다. 다만 시장안정, 자금조달, 대외협력 등의 일부 기능은 서울 잔류가 필요하다고 언급했다.특히 용역은 지역성장형 이전 효과로 ▷국가균형발전 동력 창출 ▷동남권 및 부산 금융중심지 활성화 선도 등을 전망했다. 민주당과 산은 노조가 반대 빌미로 삼는 정책금융기능 약화 우려는 크지 않은 것으로 관측했다. 지역성장형 이전의 단점은 ‘수도권 정책금융 수요 대응 단기적 애로’에 그쳤다.국민의힘은 용역 결과를 바탕으로 본점 이전을 위한 법개정에 반대하는 민주당을 강하게 압박했다. 국회 정무위 소속의 국민의힘 김희곤(부산 동래) 의원은 “산은 기능의 100% 부산 이전은 국정과제 달성을 위한 당연한 결론”이라며 “민주당도 산업은행법 개정이 차질없이 진행될 수 있도록 협조해줄 것을 촉구한다”고 말했다. 같은 당 전봉민(부산 수영) 부산시당위원장도 국회에서 가진 기자회견에서 “산은법 개정을 촉구하는 부산 시민 100만 명 서명운동을 진행하겠다”고 밝혔다. 반면, 국회 정무위 소속의 민주당 박재호(부산 남을) 의원은 “부산 이전을 전제로 한 용역으로는 당을 설득하기 어렵다. 산은이 부산으로 옮겨도 서울 금융기능에 문제가 없다는 등의 자료가 있어야 당을 설득할 수 있다”고 난색을 표했다."
27,"[23.7.27 KNN 인물포커스 촬영, 산업은행 부산이전 관련 기자회견]오늘 KNN 인물포커스 촬영을 했습니다. 최근 정관선의 예타조사 대상사업 선정 소식부터, 주요 지역 사업의 진행상황, 앞으로의 의정활동 각오 등을 말씀드리며 편안한 분위기에서 촬영을 마쳤습니다. 방송 일정은 추후 공유하겠습니다. 많은 관심과 시청 바랍니다^^ 산업은행이 부산이전과 관련해 이전계획안 수립을 위한 연구용역을 진행한 결과 필수적인 조직을 제외하고 모든 조직과 기능을 부산으로 옮겨야 한다는 결과가 나왔습니다. 이와 관련해 부산지역 국회의원들은 이를 적극 환영하며, 민주당이 산은법 개정에 반대입장을 접고 산은 이전에 적극 동참해달라는 기자회견을 가졌습니다.이어진 의원총회와 본회의 일정까지 국회일정을 끝내고 이제 기장으로 향하고 있습니다. 이번 주말! 기장군 일광해수욕장에서 기장갯마을축제★가 펼쳐집니다. 여름바다 축제를 통해 피서철을 더욱 즐겁고 시원하게 보내보시길 바랍니다. 모두 축제현장에서 만나요~#정동만 #부산 #기장군 #국회의원 #KNN #인물포커스 #인터뷰 #산업은행 #이전 #부산국회의원 #기자회견 #본회의 #마치고 #부산 #기장갯마을축제 #여름 #피서철 #축제"
28,"""다시 바빠진 일상""파나마 출장 마치고 다시 일상으로 돌아왔습니다. 월욜에는 밀린 업무 보고 받고 결재하고 중요 현안회의로 바쁜 시간을 보냈고,오늘 화욜부터는 부산의 산업구조 고도화를 위해 '이차전지산업 지산학협력 복합체 발족식'을 가지는 등 외부일정이 시작되었습니다.최근 글로벌 전기차시장이 확대되면서 이차전지가 신부가가치산업으로 반도체산업과 어깨를 겨루게 되었습니다. 우리 부산시도 이차전지 선도기술 확보와 글로벌시장 선점을 위해서 (주)금양을 비롯한 부산지역의 이차전지 관련 기업들과 대학, 그리고 유관기관들이 모여서 이차전지 복합체를 만들게 된 것입니다. 비록 부산이 후발주자로 출발하지만, 지산학이 제대로 3위일체가 된다면 이차전지 분야가 부산의 신성장산업이 될 것입니다.KBS가 2차 공공기관 이전 및 혁신도시의 현재를 분석하는 기획을 하고 있는데 관련 건으로 인터뷰를 하였습니다.부산에는 산업은행 이전이라는 현재진행형의 사안이 있는 만큼 그 당위성과 효과에 대해 충실히 설명을 하였습니다. 또한 이전을 반대하는 산업은행 임직원들의 우려를 불식할 수 있는 다양한 지원시책도 소개하였습니다.남은 것은 국회에서의 산업은행법 개정입니다.적어도 9월부터 진행되는 정기국회에 반드시 통과되길 기대합니다.#산업은행 #이차전지 #금양 #이성권 #부산시경제부시장 #공공기관이전 #혁신도시"
29,산업은행 필기 후기 ✏️🏦_하 ㅋㅋㅋㅋ 이거 너무 써보고싶엇어 결시는 한 명도 없었다! 근데 내가 맨 앞자리라 푸는 동안 분위기가 어땟는지는 모르겟음 그리거 진짜 가고싶은 공기업이 있다면 꼭 그 전에 다른 공기업들 필기시험도 보고 그러세여 진짜 나 오늘 처음 필기시험 친거라 너무 우왕좌왕하구 정신없엇음.. _움… 일단 피듈인 거같은디 산은 필기가 그렇게 어렵다고 해서 엄청 쫄아있었는데 그정도는 아니엇다만.. 난 떨어질듯ㅋ.. 왜냐하면 전공이.. 망했다 회계가 생각보다 어려웠어요.. 진심x1000 아무리 그래더 반은 맞히겟지 했는데 어우 다 틀릴 듯 걍 하나로 찍을 걸.. 아무튼 의수문정보까지 해서 60분이었구 인성검사 30분 상경이랑 금일 회계원리 60분 .. 다들 잘 봣겟지.. ㅠㅠ 오늘은 정말 잊지 못 할 좋은 경험을 햇구여.. 앞으로 더 열시미 해서 언젠간 꼭 다시 시험보러 갈게요 기다랴요~~ 다들 수고 많앗어요🍀💚 산은 바이바이.. _#산업은행 #너무 #기여워 #ꯁ
30,"올해 최초 서울지역 폭염경보 발효된 날. 셔츠에 자켓까지 입고 여의도 나들이. 여의도백화점에서 반주 곁들여 점심 먹고 서여의도로. 걸어가는데 정말 더웠음. 백팩에 노트북과 갤탭까지 넣었음.  금감원 건물 보며 내 고교 동기 성원이랑 56기 기영이 생각 한번 하고, 폭염속 터벅터벅 걸으며 산업은행 지나 최종 목적지인 수출입은행까지.덥다고 일을 안할수는 없잖아. #폭염경보🚨 #폭염 #여의도백화점 #금융감독원 #산업은행 #한국수출입은행 #폭염속걷기 #먹고살기힘들다"
31,#HMM #티케이케미칼 #남선알미늄#산업은행 #해양진흥공사 영구채 주식전환.... ㅎㄷㄷ 매각을 하겠다는건지 안하겠다는 건지 그걸 누가 사줘내일 주가 떡락인가...떡상인가 잘모르겠다 머가 됬든 거래량 폭발~ 일단 4000까지만이라도 가즈아🔥🔥🔥#주식 #주식스타그램 #투자 #제태크 #경제적자유
32,"[홍파스] 지난 5월 31일, 금융위원회의 주도로 #대환대출플랫폼 이 출시되었어요.✨ㅤ📌 #대환대출 은 금융기관에서 대출을 받은 뒤 이전의 대출금이나 연체금을 갚는 제도를 말해요.ㅤ대환대출 플랫폼 서비스의 과정부터 도입배경, 소비자 혜택, 우려사항까지 홍파스와 함께 살펴보아요!🧐ㅤ*본 콘텐츠는 KDB산업은행 홍보 파트너스 6기가 직접 제작한 콘텐츠입니다.ㅤ#KDB산업은행 #산업은행 #KDB #대출 #신규대출 #온라인대출 #금리 #홍파스 #홍보파트너스 #홍파스6기 #서포터즈 #대학생서포터즈"
33,"#우원기술#2차전지#산업은행#업무협약(주)우원기술은 2023년 7월 17일 우원기술 본사에서 KDB산업은행과 '포괄적 업무협력을 위한 업무협약'을 체결하였습니다. 이번 업무협약은 독보적인 기술력을 갖춘 우원기술의 글로벌 진출 확대와 혁신성장을 가속화하여, 정부의 국가전략산업인 2차전지산업의 경쟁력 강화 정책에 부응하는 의의가 있습니다. 협약식은 업무협약서 체결, 회사 현황청취, 제조현장 시찰 순으로 진행되었습니다.이 자리에서 산업은행 박형순 자본시장부문장님은 헌신적인 노력으로 우원기술의 발전에 이바지한 임직원의 노고를 높이 치하 하셨으며, 우원기술의 탁월한 기술력에 깊은 인상을 받으셨습니다.특히, 2차전지산업 설비업체 중 최대규모를 자랑하는 우원기술 3공장의 생산능력을 높이 평가하시면서, 수출기업 우원기술에 적극적인 정책자금 지원을 약속하셨습니다."
34,2023.07.15. 뉴스 키워드#신문 #요약 #뉴스 #경제 #사회 #키워드 #주요뉴스 #어른중 #아시아나 #조종사노조 #아시아나파업 #아스파탐 #발암가능물질 #HMM #산업은행 #국민연금
35,"🪙장기 저금리로 이용가능한 온렌딩 대출 안내~! (최대300억)✅지원대상:장래 성장가능성이 큰 중소ㆍ중견기업을 지원대상으로 하고, 신용등급 중간(B∼BBB)에 속하며, 설립 후 3년 이상 경과한, 전년도 매출액이 10억 원 이상인 기업✅대출한도:최소100억~최대300억✅대출기간:최소1년~최대10년✅대출금리:23년4월 기준금리기준연4.09%~온렌딩 대출은 한국정책금융공사가 승인할 경우 50% 범위 내에서 농협과 공사가 신용위험을 분담할 수 있어 시중보다 낮은 금리로 장기대출이 가능하고,대출심사 등이 다른 금융지원제도에 비해 간소하다는 장점이 있습니다.🌈이러한 온렌딩 및 대형자금에 관한 궁금한 부분이나 진행사항관련 문의사항이 있으시면 언제든지 연락주세요.15년경력의 노하우를 가진 전문 컨설턴트가 정확하고 섬세한 비지니스 코칭과 지원컨설팅으로 도와드리겠습니다 ^^🌐www.sfacenter.com☎️1833-5903#온렌딩#산업은행#저금리대출#기업자금#중소기업자금#시설자금#운영자금#리스자금#중견기업#특별한도#KDB#onlending#사업자대출#대환대출#장기대출#대형자금#간접대출#컨설팅#운전자금#공장설립자금#법인전환#컨설턴트"
36,#KDB인사이트#디스플레이 #자동차 #조선 분야 전망이 궁금하다면?KDB미래전략연구소가 알려드리는7월 #월간산업동향 을 지금 확인하세요!#KDB #산업은행 #경제 #산업 #동향 #글로벌
37,"경제전문매체 더리브스입니다🌿오늘 전해드릴 소식은 '[기획] 당국·은행 지원에 안정세 찾는 새마을금고…후폭풍 대책은' 입니다☺️연체율 증가로 대량 예금 인출 사태(뱅크런) 위기가 촉발됐던 새마을금고가 다시금 안정세에 접어들고 있습니다😮‍💨 범정부 대응단이 위기를 막기 위해 합동 방어에 나서고 은행권도 유동성을 제공하면서인데요,범정부 대응단은 지난 6일 구성된 범정부 대응단은 우선 예·적금이 100% 보호받을 수 있고 필요시에는 정부 차입 등으로 유동성을 충분히 지원할 거라고 발표했습니다🗣️다만 새마을금고의 채권 매도 등이 미칠 수 있는 시장 영향에 후폭풍 우려감이 커진 대상은 중·후순위로 참여한 증권사와 저축은행 등의 제2금융권입니다. 이에 따라 업계는 새마을금고발 PF 부실 우려에 대한 전망과 대비책들을 내놓고 있습니다📑더리브스의 더 많은 이야기가 궁금하시다면 @tleaves_news 프로필 링크를 클릭해주세요☺️___맘에 드신다면 좋아요, 저장🌸공감 하신다면 댓글, 공감🌸다른 콘텐츠도 궁금하시다면 팔로우🌸 #경제 #경제뉴스 #경제신문 #경제스터디 #단독 #이슈 #제보 #더리브스 #tleaves #새마을금고 #뱅크런 #신한은행 #국민은행 #하나은행 #우리은행 #농협은행 #산업은행 #기업은행"
