,content
33,대한독립만세🇰🇷 Posted @withregram • @shinhanbank_official ㅤ[8월 15일 #제78주년_광복절]　내일은 우리나라의 빛을 되찾은지78주년이 되는 자랑스러운 광복(光復)절입니다.　조국을 위해 희생하신 독립운동가와순국선열들이 계셨기에오늘과 같은 대한민국이 존재할 수 있었습니다.　광복절을 기념하여우리민족의 얼과 염원을 담은태극기를 직접 그려보며 광복절의 의미를다시 한번 생각해보는 건 어떨까요?　#광복절_이벤트STEP1. 필수 해시태그와 함께직접 그린 태극기를 본인 SNS에 업로드📌필수 해시태그: #광복절 #태극기사랑 #신한과함께나라사랑　STEP2.  본 게시물에 ‘참여완료’ 인증하기!　✔이벤트 기간: 2023.08.14(월) ~ 2023.08.25(금)✔이벤트 경품- [교촌치킨] 허니콤보감자웨지세트 (100명)- [스타벅스] 카페 아메리카노 T (200명)✔이벤트 대상: 본 게시물 이벤트 참여 고객✔당첨자 발표: 2022.08.30(수) *개별DM발표　✨‘태극기 바르게 그리기’와 ‘올바른 태극기 달기‘의 방법이 궁금하다면!?행정안전부(@withyou3542)홈페이지 www.mois.go.kr과 신한프렌즈 인스타그램(@shinhanfriends_official)에서쏠이 알려주는 태극기 그리는 법을 참고해 보세요!✨본 이벤트는 @shinhanfriends_official 과 함께 진행중입니다.✨신한프렌즈 양모펠트 피규어는 @hisofelt 작가님과 함께합니다.　#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #광복 #광복절 #대한독립만세 #대한민국 #광복78주년
34,#첫줄👋 #하트는덤❤️ 나이가 많이 들긴한 루시 ㅎ그래도 아직은 펄펄하긴 하다근데 작년까지만해도 머리가 똑바로 있었는데어느날부터 머리가 살 돌아가있넹 ㅠ에혀~안타깝다 ㅠ#신한은행 #전국멍냥이자랑 #@shinhancard_official
35,덥다.점심먹고 시원하게..#덥다 #카페 #스타벅스 #신한은행 #신한COOL팁
36,"#첫줄생략 소원이 100일기념 통장 만들고 왔어요.백일은 토요일인데 금요일은 은행에 사람이 많을 것 같아서 오늘 갔다 왔어요탯줄도장 만든지도 좀 됐는데 미루고 미루다 100일을 핑계(?)로ㅋㅋㅋㅋ😅저희 어렸을 땐 용돈이나 세뱃돈 받고 엄마아빠한테 맡기면 그 돈이 어디로 갔는지 찾을 수가 없었잖아요😂저는 그랬지만 소원이는 소원이가 받는 세뱃돈,용돈들 잘 모아주고 싶어서 이렇게 통장을 만들게 되었어요.입출금통장, 청약, 적금2개까지..!한번에 이렇게 많은 통장을 만들어본 건 처음이라 몰랐는데 시간이 꽤나 걸리더라구요..! 그래도 어플로 미리 할 수 있는건 신청하고 가서 그나마 빨리 진행된 것 같아요!갑자기 적지 않은 금액이 자동이체로 빠져나가게 되었지만 어차피 소원이 돈이다 생각하려구요!😁바우처까지 야무지게 받았으니 앞으로도 엄마아빠가 돈 열심히 벌어서 소원이 통장에 차곡차곡 모아줄게💛#인생98일차👶🏻 #토끼띠아기 #토끼띠딸 #5월생아기 #토끼띠맘 #딸스타그램 #육아 #육아기록 #육아소통 #육아스타그램 #일상 #daily #탯줄도장 #소담새김 #예뻐서만족💕 #신한은행 #아기통장 #아기청약 #아기적금통장 #바우처도받고 #든든하다든든해 #소원이와함께하는_엄마의하루ᰔ"
37,"아드님 은행 계좌 개설 완료! 증권 계좌와 청약 통장도 겸사겸사 만들었다.요새는 아이 계좌로 부모 급여와 아동 수당을 받는단다. 증여세를 낼 필요가 없어서. 부모 급여는 만 1세까지 월 70이고 - 내년에는 100인 듯? - 그 후 월 35. 아동 수당은 8세까지 월 10이니까, 합치면 나중에 쓸 일이 있겠다 싶다.신한은행에서 진행하는 태아 미리 등록 서비스로 5만 원도 받았다. 신한은행에서 주는 첫 용돈 축하해, 아들! #신한은행 #태아미리등록서비스 #유아통장ps. “금룡이의 찬란한 미래를 위해“라니. 내가 무슨 생각으로 저런 메모를 남겼지?미안해, 진아. 나중에 좀 많이 부끄럽겠구나. 엄마가 죄인이다… 그래도 그때는 모바일로만 하지 종이 통장은 잘 안 볼 테니 악으로 깡으로 버티렴!"
38,아빠 배엔 좀 많이 작은것 같은데…초롱언니 탄생연도 1995!#신한은행 #신한프렌즈 #신한프렌즈티셔츠 #너신한프렌즈t야 #신한프렌즈티셔츠커스터마이징콘테스트 #고프로11 #1995
39,"강원도 휴가중에 #조선왕릉원정대 오리엔테이션 다녀왔다.서류 - 면접 - 심사를 거쳐서 어렵게 선발되었다.5박 6일이라는 기간 동안 하루에 약 11k를 걷게 되고, 18개의 남한의 왕릉을 방문하는 코스!!#서해랑길원정대 에 이어서 또 팀장이 되고..내가 팀장 될 상인가...아킬레스 파열 수술 후 첫 활동이라 걱정이 조금 앞서지만 재활샘과 상담 결과 충분히 할 수 있다고 하셨다!여기 가려고 퇴근길 10키로씩 걸어서 집에 오고 재활도 정말 열심히 하였다.이번 원정대를 시작으로 다시 달려나갈 수 있는 계기가 되었으면 좋겠다!#조선왕릉 #2023조선왕릉문화제 #2023조선왕릉원정대 #조선왕릉문화제 #걸어서왕릉속으로 #문화재청궁능유적본부 #한국문화재단 #신한은행"
40,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ姫がコロナから復活して最初のイベントだったのに雨で濡れてまた体調崩すんじゃないかって心配した日ᯅ̈՞ ՞ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ#볼빨간사춘기 #안지영 #신한은행 #서울특별시 #참신한북콘서트 #북콘서트 #赤頬思春期 #Bolbbalgan4 #bolbbalgan4 #BOL4 #bol4 #볼4 #볼빨간 #BOL4 #ShofarMusic #음스타그램 #한국 #서울 #일상 #데일리 #소통 #좋아요 #20220707
41,#신한프렌즈 #신한프렌즈티셔츠 #너신한프렌즈T야 #나만의_티셔츠로_나만의_OOTD_뽐내봐 #농번기패션 #일바지 #지민꽃바지 #밭일도패셔너블하게 #신한프렌즈_티셔츠_인증샷_이벤트#신한프렌즈_티셔츠_커스터마이징_콘테스트 #나만의_티셔츠로_나만의_OOTD_뽐내봐#신한은행 #사랑합니다💙티셔츠 주문하면서 재밌었어요🥰💖제 취향 듬뿍 담아 만들어서 그런지...실물 보고 완전 반했습니다💜#쨩예쁨 #내취향이니까
42,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤたまにはカッコいい姫も🔥❤️ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ#볼빨간사춘기 #안지영 #신한은행 #서울특별시 #참신한북콘서트 #북콘서트 #赤頬思春期 #Bolbbalgan4 #bolbbalgan4 #BOL4 #bol4 #볼4 #볼빨간 #BOL4 #ShofarMusic #음스타그램 #한국 #서울 #일상 #데일리 #소통 #좋아요 #20220707
43,#신한프렌즈 #신한프렌즈티셔츠 #너신한프렌즈T야#쏠 #몰리 #같이고추따자#나랑같이토란대깔래마음만은 남태평양 어딘가에서쏠&몰리랑 스노쿨링💙#패셔니스타#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #티셔츠 #커스터마이징 #커스텀 #휴가 #반팔추천 #캐릭터스타그램 #경품 #event #인스타그램이벤트
44,#신한은행 #신한과건강하계
45,#리그램 - @shinhanbank_official by @get_regrammerㅤ[8월 15일 #제78주년_광복절]　내일은 우리나라의 빛을 되찾은지78주년이 되는 자랑스러운 광복(光復)절입니다.　조국을 위해 희생하신 독립운동가와순국선열들이 계셨기에오늘과 같은 대한민국이 존재할 수 있었습니다.　광복절을 기념하여우리민족의 얼과 염원을 담은태극기를 직접 그려보며 광복절의 의미를다시 한번 생각해보는 건 어떨까요?　#광복절_이벤트STEP1. 필수 해시태그와 함께직접 그린 태극기를 본인 SNS에 업로드📌필수 해시태그: #광복절 #태극기사랑 #신한과함께나라사랑　STEP2.  본 게시물에 ‘참여완료’ 인증하기!　✔이벤트 기간: 2023.08.14(월) ~ 2023.08.25(금)✔이벤트 경품- [교촌치킨] 허니콤보감자웨지세트 (100명)- [스타벅스] 카페 아메리카노 T (200명)✔이벤트 대상: 본 게시물 이벤트 참여 고객✔당첨자 발표: 2022.08.30(수) *개별DM발표　✨‘태극기 바르게 그리기’와 ‘올바른 태극기 달기‘의 방법이 궁금하다면!?행정안전부(@withyou3542)홈페이지 www.mois.go.kr과 신한프렌즈 인스타그램(@shinhanfriends_official)에서쏠이 알려주는 태극기 그리는 법을 참고해 보세요!✨본 이벤트는 @shinhanfriends_official 과 함께 진행중입니다.✨신한프렌즈 양모펠트 피규어는 @hisofelt 작가님과 함께합니다.　#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #광복 #광복절 #대한독립만세 #대한민국 #광복78주년
46,#2023조선왕릉문화제#걸어서왕릉속으로#조선왕릉원정대#문화재청궁능유적본부#한국문화재재단#신한은행
47,_울애기들 오래된 통장도 정리하고가입하고 싶었던 주니어적금도 가입!!!좀 더 열심히 못모아줘서 아쉽지만앞으로 더더더더 책임지고 모아쥬께 ❣️4년만기 가자!!!#신한은행 #my주니어적금 #신한은행적금 #청약통장 #재테크방법
48,"2023 신한은행 SOL KBO리그 8.16""야구를 시작으로 경기 정보 게시물을 재개합니다""한화 vs NC 창원NC파크 경기막판 역전을 위해 고군분투하는 한화조금 주춤해도 4위 자리를 지키고있는 NC어제 접전을 펼친끝에 3대3 무승부를 띄운 두 팀오늘은 어떻게든 승리를 거두려고 합니다불펜에서 임시 선발로 낙점을 받은 이태양부상 복귀 후 재기를 노리는 최성영연승을 이어가는 투구를 보여주느냐연패를 끊고 수도권 팀들을 잡으러가느냐MBC SPORTS+를 통해 확인해주세요KT vs 두산 잠실야구장 경기제가 자리를 비운 사이에 3위로 올라 온 KT흔들리긴 했어도 5할,5위를 유지한 두산명품 투수전을 보여주며 1점차로 승리한 원정팀기세 좋은 엄상백과 4연승을 만들 수 있을지아니면 5강을 빼앗길 위기에 놓인 홈팀이김동주와 복수를 하며 자존심을 지켜줄지KBSN SPORTS와 함께 확인해봅시다LG vs 삼성 대구라이온즈파크 경기올해는 제대로 대형사고를 치겠다는 LG왕조의 자존심을 되찾고싶은 삼성막판에 불을 뿜으며 9회까지손에 땀을 쥐게 만들었던 두 팀이정용과 뷰캐넌이 바통을 이어받아서멋진 플레이를 이어갈거라 생각하는데SPOTV2에서 짜릿한 전자더비를 감상해주세요SSG vs 롯데 사직야구장 경기6경기로 벌어졌지만 포기하지 않은 SSG7위로 내려갔으나 5강의 끊을 놓지않은 롯데조금 더 간절했던 롯데가4회의 역전을 시작으로 무섭게 공격해 승리했는데박종훈의 투구로 LG를 잡으러 갈 수 있을지월커슨의 로진이 5강으로 향하는 길을 열어줄지SPOTV에서 시청해주세요키움 vs KIA 광주챔피언스필드 경기예상치 못하게 최하위로 고전중인 키움드라마를 만들 기회가 많은 KIA에이스를 무너뜨리며 도약의 발판을 마련한 원정팀정찬헌에게 힘을 실어주면서 탈꼴찌를 향해 가느냐이의리와 함께 패배를 되갚아주면서5강에 한발짝 더 가까이 다가가느냐SBS sports에서 중계하니까잠시 후 18시 30분 많은 시청을 부탁드리고늦지 않았으니까 지금이라도 야구장에 오셔서응원단장님,장내 아나운서님,치어리더분들과승리의 박수와 함성과 응원을 보내주세요원없이 던지고 치고 달려라, KBO리그#2023 #신한은행 #KBO리그 #8월16일#창원NC파크 #NC다이노스 #한화이글스#잠실야구장 #두산베어스 #KTwiz#대구라이온즈파크 #삼성라이온즈 #LG트윈스#사직야구장 #롯데자이언츠 #SSG랜더스#광주챔피언스필드 #KIA타이거즈 #키움히어로즈#18시30분경기 #동시스타트#프로야구를위해 #한국야구를위해#다시달려보겠습니다 #함께해요 #KBO리그홍보"
49,#2023조선왕릉문화재 #걸어서왕릉속으로 #조선왕릉원정대 #문화재청궁능유적본부 #한국문화재단 #신한은행
50,🙁거래처의 도산으로.. 돈을 받지 못하셨다구요?!또르르..😭이럴 때를 대비하는 것이 #매출채권보험✅가입대상매출액 500억원 미만의 서울 소재 중소기업✅지원내용중소기업 매출채권보험 가입에 대한 보험료 지원서울시: 보험료 50%지원신한은행: 보험료 20%지원✔️더 궁금한 점은신용보증기금 ☎️1588-6565#매출채권보험 #용역 #물품 #도산 #손실금 #서울시 #신한은행 #신용보증기금 #서코노미
51,ㅤ[8월 15일 #제78주년_광복절]　내일은 우리나라의 빛을 되찾은지78주년이 되는 자랑스러운 광복(光復)절입니다.　조국을 위해 희생하신 독립운동가와순국선열들이 계셨기에오늘과 같은 대한민국이 존재할 수 있었습니다.　광복절을 기념하여우리민족의 얼과 염원을 담은태극기를 직접 그려보며 광복절의 의미를다시 한번 생각해보는 건 어떨까요?　#광복절_이벤트STEP1. 필수 해시태그와 함께직접 그린 태극기를 본인 SNS에 업로드📌필수 해시태그: #광복절 #태극기사랑 #신한과함께나라사랑　STEP2.  본 게시물에 ‘참여완료’ 인증하기!　✔이벤트 기간: 2023.08.14(월) ~ 2023.08.25(금)✔이벤트 경품- [교촌치킨] 허니콤보감자웨지세트 (100명)- [스타벅스] 카페 아메리카노 T (200명)✔이벤트 대상: 본 게시물 이벤트 참여 고객✔당첨자 발표: 2022.08.30(수) *개별DM발표　✨‘태극기 바르게 그리기’와 ‘올바른 태극기 달기‘의 방법이 궁금하다면!?행정안전부(@withyou3542)홈페이지 www.mois.go.kr과 신한프렌즈 인스타그램(@shinhanfriends_official)에서쏠이 알려주는 태극기 그리는 법을 참고해 보세요!✨본 이벤트는 @shinhanfriends_official 과 함께 진행중입니다.✨신한프렌즈 양모펠트 피규어는 @hisofelt 작가님과 함께합니다.　#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #광복 #광복절 #대한독립만세 #대한민국 #광복78주년
52,"ㅤ[신한SOL #급여클럽] 가입하고#지금_받는_소득에_혜택을_더하자!급여클럽에선 모두가 공평하다!🙋#세상_쉬운_급여클럽_가입조건🔍생활비 관리하는 주부,알바하는 알바생, 연금받는 어르신까지!매월 50만원 소득만 있다면 누구나가.입.가.능!😍#급여클럽_가입_혜택은?🎉💰매 월 월급봉투 증정1P~200만P까지 당첨되는 월급봉투를 매 월 증정!✨3개월 마다 보너스 봉투를 추가로 드려요💰금융 우대 혜택금융 수수료 면제, ATM 인출수수료 면제, 환율 90% 우대 등!다양한 금융 우대 서비스를 제공해요!💰각종 추가 이벤트100% 당첨 랜덤 룰렛, 미션 수행 이벤트 등!각종 선물이 넘치는 추가 이벤트도 응모 가능!이렇게나 많은 혜택을소득만 있으면 받을 수 있다니!급여클럽, 가입 안하면 손해일걸?!👏지금 바로 인스타그램 프로필 링크에서『신한 급여클럽』💌 눌러 가입하고,월급봉투와 각종 혜택 받으러 가자!#인스타그램_이벤트생활비, 급여, 알바비, 용돈 등 50만원 이상 소득이 있는 @친구 에게 가장 마음에 드는 급여클럽 혜택을 알려주세요!✔이벤트 기간: 2023.8.16(수) ~ 2023.8.22(화)✔이벤트 경품: 스타벅스 카페 아메리카노 T (15명 추첨)✔이벤트 대상: 본 게시물 이벤트 참여 고객✔당첨자 발표: 2023.8.25(금) *개별DM발표#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #급여클럽 #급여 #소득 #학생 #주부 #용돈 #생활비 #월급 #직장인 #연금 #이벤트 #경품 #event준법감시인 사전심사필 제2023-13802-1호(2023.08.16~2025.08.16)[유의사항]※급여클럽의 모든 혜택은 은행에서 정한 요건을 충족한 경우에 제공됩니다. 자세한 내용은 급여클럽 혜택안내 페이지를 참고하시기 바랍니다.※서비스에 관한 상세 내용 및 유의사항은 신한은행 홈페이지(www.shinhan.com)또는 신한 쏠(SOL)을 참조하시기 바랍니다. ※이 광고는 법령 및 내부통제기준에 따른 관련 절차를 거쳐 제공됩니다.※기타 자세한 사항은 신한은행 고객센터1599-8000(평일 오전 9시~오후 6시/ 주말 및 공휴일 휴무)로 문의부탁드립니다."
53,"NHẬN QUÀ DUYÊN DÁNG, CHO THÁNG YÊU THƯƠNG🎁 Bật chế độ săn quà tại Ngân hàng Shinhan và nhận ngay Tumbler phiên bản kỷ niệm 30 năm có mặt tại Việt Nam cực “trendy” khi đăng ký mở Thẻ tín dụng tại SmartCredit. (*)🎁 Đặc biệt, BST quà tặng mới nhất của SmartCredit là ‘Pink Collection’ sẽ dành riêng cho Khách hàng giới thiệu thành công từ 2-10 Khách hàng mới mở thẻ trong thời gian chương trình. 💁 Đăng ký và liên hệ ngay với nhân viên bán hàng của SmartCredit để được tư vấn chi tiết.Lưu ý:🔹 Áp dụng tại tất cả các kênh bán hàng của SmartCredit🔹 Thời gian đăng ký mở thẻ: Từ ngày 08/08/2023 đến ngày 31/08/2023🔹 Thời gian kích hoạt thẻ: Từ ngày 08/08/2023 đến hết ngày 30/09/2023 (*) Chương trình áp dụng cho 1000 Khách hàng mở thẻ thành công sớm nhất trong tháng và thỏa một số điều kiện khác của Ngân hàng.👉 Chi tiết chương trình, xem tại: https://bit.ly/3KHczxf#NganhangShinhan----RECEIVE COOL GIFTS IN LOVELY MONTH🎁 Turn on “gift hunting” mode at Shinhan Bank. Then, get Tumbler’s 30th anniversary edition of Shinhan Bank's presence in Vietnam when registering to open Creditcard at SmartCredit. (*)🎁 Especially, the latest gift’s collection from SmartCredit named “Pink Collection”, which is exclusive to those, who successfully refers from 2 to 10 new customers opening cards in promotion period.💁 Please register and contact with SmartCredit’s salesperson to get more information.Notice:🔹 Applied at: All sale channels of SmartCredit🔹 The registration period: From 8th August to 31st August 2023🔹 The card’s activation period: From 8th August to 30th Sep 2023(*) The promotion is applied for 1000 Customers who are the earliest and qualified ones in opening card in month.👉 Promotion details, please see: https://bit.ly/45xsjev#ShinhanBank #Shinhan #신한은행"
54,"(서울=연합인포맥스) 올 상반기 국내 시중은행 직원들의 평균 보수가 최고 8천만원에 육박한 것으로 나타났다.하반기에도 비슷한 수준이 유지된다면 평균연봉이 1억5천만원을 돌파하는 은행이 처음으로 나오게 된다.고금리 덕에 사상 최대 이익을 낸 은행들이 직원들에게 성과급을 두둑이 챙겨준 덕에 은행원 평균 연봉도 1억원을 훌쩍 넘어설 전망이다.또 희망퇴직자가 최대 11억원이 넘는 퇴직금을 수령하면서 은행의 최상위 연봉자로 이름을 올리는 기현상이 올해에도 벌어졌다.금융당국이 은행권 보수체계 점검 대상에 일반 직원 성과급과 퇴직금도 포함하겠다고 밝힌 가운데 제도 개선안 마련에 나설 것으로 보인다.◇ 하나·국민銀 등 상반기 급여 평균 7천만원대…연봉환산시 1.5억 넘어SC제일은행과 씨티은행과 국민은행도 남성 행원의 평균 급여액이 7천만원대로 하반기에도 같은 수준의 보수를 받는다고 가정할 때 올해 평균연봉은 1억5천만원을 넘어서게 된다.은행들의 평균 급여가 높아진 건 성과급 영향이 컸다.코로나19 확산 이후 은행 대출이 늘어난 데다, 한국은행의 기준금리가 오른 탓에 시장금리도 상승하며 이자수익이 불어나자 은행들은 일제히 사상 최대 실적을 내며 성과급 잔치를 벌였다.4대 은행들은 지난해 성과로 기본급의 300~400%에 달하는 성과급을 챙겨줬다. 그간 4대 은행의 성과급은 기본급의 150~200% 수준이었다.일부 은행들은 성과급 비율을 내리되 특별격려금을 추가로 지급하는 방식으로 실제 받는 금액을 늘리기도 했다.은행 성과급은 직원별·소속별 KPI 등에 따라 개인별 기본급의 일부를 성과로 차등해 지급받는 고정성과급과 사전에 설정된 은행 경영목표 달성 시 수익을 일부를 임직원에게 배분해주는 특별성과급으로 나뉜다.금융회사지배구조법상 금융회사 성과급 규율 대상은 경영진과 금융투자업무를 담당하는 일부 직원으로 한정돼 있다. 일반 직원의 성과급은 노사 간 합의에 따라 은행장 전결로 지급 가능하다.◇명퇴자가 '연봉킹' 싹쓸이…최대 11억 퇴직금 받고 떠나올 상반기에도 희망퇴직자가 은행장을 제치고 최고 연봉자에 오르는 사례가 속출했다. 4대 은행 '연봉킹'은 모두 행장이 아닌 퇴직자들이 차지했다.하나은행은 연봉 '톱5'가 모두 희망퇴직자였다. 이승열 하나은행장과 고위급 임원들은 이들에 밀려 공시 대상에 이름조차 올리지 못했다.이들 퇴직자가 올 상반기 받은 급여는 2억~3억원대에 불과했으나, 급여와 맞먹는 수준의 성과급을 받았고, 퇴직금으로 10억원 이상을 챙겨 은행을 떠났다.한 퇴직자는 퇴직금으로만 11억원 넘게 받았다.국민은행도 보수총액 상위 5명이 모두 퇴직자였다.이들은 8억원 안팎의 퇴직금을 포함해 8억~9억원대 보수를 지급받았다. 이재근 행장(5억8천800만원)의 보수를 훨씬 뛰어넘는 수준이다.은행권은 비대면 금융 확대에 따라 인력구조를 효율화하기 위해 희망퇴직을 통해 '몸집 줄이기'에 갈수록 속도를 내고 있다.주요 은행들은 매년 희망퇴직 보상을 더 늘려 '후한 조건'을 제시하면서 더 많은 인원이 자발적으로 희망퇴직을 하도록 유도했다.금융당국에 따르면 5대 은행의 1인당 평균 퇴직금(기본+희망퇴직금)은 2021년 평균 5억1천만원에서 지난해엔 5억4천만원으로 늘었다.올 상반기 퇴직자들의 퇴직금 수준을 고려하면 올해 평균 퇴직금액은 더 늘어날 것으로 추정된다.금융당국은 황제 성과급 지급의 명분이 된 '최대 실적'이 임직원의 노력보다는 코로나 및 저금리 지속 등으로 대출규모가 급증한 상황과 금리상승이라는 외부적 요인이 상당한 영향을 미쳤다고 보고 있다.희망퇴직금 역시 큰 규모의 비용이 소용되는 의사결정인 만큼 주주와 국민들의 정서에도 부합할 수 있도록 조정해야 한다는 입장이다.이에 금융위원회는 올 초 은행권 경영 영업 관행 제도개선 방안' 태스크포스(TF)를 통해 은행 성과보수 체계 개선안을 논의했으며, 내년부터 임원과 직원의 성과급, 희망퇴직금, 배당현황이 낱낱이 공개하도록 했다.원본기사 = 이현정 기자 / 뉴스요약 = 박서연 앰배서더#연합인포맥스 #yonhapinfomax #신한은행 #kb국민은행 #하나은행 #농협은행 #우리은행 #은행 #성과급 #연봉 #퇴직금 #금융위원회 #은행원 #경제 #경제뉴스 #news"
55,#신한은행Mệt thì mệt mà nghĩ lại đâu cũng mệt như dzậy nên thôi 😂😂
56,"[2023 고창고인돌배 생활체육 전국유도대회]2023.08.11-08.12 개최된고창고인돌배 생활체육 전국유도대회 유치부, 여자일반부 결과 🥇🥈🥉#대한유도회 #신한은행 #한국암웨이 #전라북도유도회 #유도 #전국유도대회 #전라북도 #고창 #대한체육회 #국민체육진흥공단1일"
57,"남대문 근처에 있는 신한은행 빌딩, (예전) 삼성생명 빌딩은 80년대에 지어진 것으로 묵직한 존재감이 마치 형제와 같은 느낌이다. 모서리를 둥글린 장방형 평면을 그대로 끌어올린 단순한 메스 형상인데, 가로로 긴 띠창도 거의 똑같이 적용되었다. 설계를 진행할 때 같은 디자인 대안을 놓고 외장재 색깔과 창문 색깔만 바꿔서 다르게 보이도록 표현한 듯한 느낌마저 든다.사람도 그렇지만, 빌딩도 날씬해야 보기 좋아보인다. 홍콩에 있는 빌딩이 멋져보이는 건 디자인도 독특하지만 기본적으로 비례가 세장하기 때문이다. 이 건물들이 둔탁해보이고 더 나아가 답답해 보이는 건 어쩔 수 없이 비율이 '뚱뚱해'보이기 때문이다. 이 주변 건물들이 대부분 비슷해보이는 걸 보면 아마 당시 법규상 높이제한이 있거나 (남대문이 주변에 있으니) 용적 건폐 등의 제한 덕분이 아닌가 한다. 높이는 한정되어 있으니 용적을 다 찾아먹으려면 옆으로 뚱뚱해질 수 밖에 없고, 그 와중에 뭔가 디자인을 해보려니 모서리라도 굴려보자.. 라는 프로세스가 아니었나 싶다.대한민국 대표 거리에 맞는 멋진 건물을 만드려면 뭔가 만들만한 '여지'가 있어야 한다. 최근에 소위 '혁신 디자인'에 용적률 높이 등 각종 인센티브를 주고 있다 하니 확실히 디자인 마인드를 가진 시장님은 다른 듯 하다. 하지만 그 '혁신'은 또 누가 판단한단 말인가? 공무원이? 교수가? 애매한 일이다.------열린 설계와 소통으로 건축주, 시공사와 함께하는 건축을 만들어갑니다.​OPEN STUDIO ARCHITECTURE글쓰는 건축가 김선동의 오픈스튜디오 건축사사무소김선동Kim Seondong대표소장 / 건축사'건축가의 습관' 저자Architect (KIRA)M.010-2051-4980EMAIL ratm820309@gmail.comwww.openstudioarchi.com#글쓰는건축가의건축일기 #건축일기 #건축에세이 #건축이야기 #글쓰는건축가 #건축설계 #건축디자인 #건축사사무소 #오픈스튜디오 #젊은건축가 #남대문 #빌딩 #신한은행 #삼성생명"
58,"세계 최고 강대국인 미국에서 정전 경험하고🤷‍♀️ 시간 난 김에 쓰는 쏠 얼굴 쿠션 사용 후기나는 13일 저녁 자로 공부를 위해 미국길에 올랐다잠을 거의 자지 못한 상태라 비행기에서 자기 위해 이 쏠 쿠션을 챙겨갔는데…진짜 이거 무조건 하나 꼭 쟁여놓고 비행기에서 쓰세요장거리 비행을 몇 번 해봤지만 잠 잘 때 너무 등 아프고, 엉덩이 아프고 해서 제대로 잠 잔적이 거의 없는데이거 비행기 책상에 올리고 수면안대쓰고 학창시절에 자듯이 엎드리고 자니까 그냥 꿀잠행함…!!!! 진짜 너무너무 푹신하고 부드럽고 좋음!시애틀에서 입국심사 기다리느라 2시간 넘게 서있게 되면서, 다음 비행기를 놓치고 거의 12시간을 공항에서 지내고한 번 더 경유지에 경유하고비행편마다 3시간짜리 비행을 한 입장에서..타는 모든 비행기마다 이걸 뱅기 테이블 위에 깔고 숙면함🤣그나마 쏠 덕분에 고단한 출국길 위안이 되었다…플옵 때 1등 뽑아서 하나 더 받은 나 자신 칭찬해!!!뱅크 더비 이벤트를 위해 줄자 수련한 내 정성을 알아봐준건지, 결국 쏠 얼굴 쿠션은 내손으로 뽑아 나한테 올 운명이었음😎#DRX #쏠 #신한은행"
