,content
12,"📍수원 #입크페스티벌📢📢수원 사는 사람들 모두 주목!!다듀,지코,로꼬,기리보이,빅나티,미노이,제시,효린,릴러말즈,유토를한 번에 볼 수 있는 기회가 있다는데? 바로 수원에서 열리는 입크페스티벌🎉게다가 응모만 하면 초대권을 준대~~!이거 진짜 안 할 이유가 없음;;응모는 8월 20일 까지 가능하다고 함!@ibk_festival로 응모하러 가보자고~~~!!! @@아 응모 얼마 안 남았으니까 서둘러!✔인스타그램: @ibk_festival#입크 #페스티벌 #기업은행 #힙합 #콘서트"
13,"#광고 #입크 페스티벌 응모 왜 안해?너네 #입크페스티벌 이라고 앎?응모만 하면 초대권 준대!라인업도 미쳤음;;무려 다듀,지코,로꼬,기리보이,빅나티,미노이,제시,효린,릴러말즈,유토!!이 화려한 라인업, 안 보고는 못 참지!!지금 당장 초대권 응모 참여하러@ibk_festival 로 ㄱㄱ응모는 8월 20일까지 가능!얼마 안 남았으니까 서둘러야겠는걸?@@아 우리 이거 빨리 하자!#입크 #페스티벌 #기업은행 #힙합 #콘서트"
14,#event입크페스티벌 가고 싶은 사람 손!✋입크니가 마지막으로! 입장권 뿌린다!⠀지금 댓글로 입크하고 싶은 마음을꾹꾹 눌러담아 댓글 달아줘!추첨을 통해 5명에서 입크페스티벌 티켓 줄거야✉⠀📌 입크페스티벌 기대평 #이벤트내용 : 나 이만큼 입크 하고 싶다! 댓글로 입크페스티벌 기대평 남기기기간 : 8.17(목) ~ 8.20(일)당첨자 발표 : 8. 25 (금) (개별 DM 발표)경품 : 입크페스티벌 초대권 5명 (1인 2매)⠀IBK 홈페이지에서 진행중인 티켓 이벤트도이번주 일요일까지니까아직 참여 안했다면 얼른 GO!⠀🎉 IBK 입크페스티벌- 9.16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지 응모(ibk.kr/입크페스티벌)- 응모기간 : 23.8.1(화) ~ 8.20(일)⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #MZ #기대평이벤트 #댓글이벤트
15,핑쿠맛 당근케이크 🍬👛
16,"📢 <더아트프라자 대학생 예비작가 공모전> 접수가 시작됐어요!🖼️ <The Art Plaza 2023>의 사전 프로그램으로 진행하는 <더아트프라자 대학생 예비작가 공모전>에서 유망한 청년 작가들의 작품을 기다립니다!🏆당선자들에게는 상금과 함께 행사 기간 동안 전시 진행 기회와 미술계 전문가의 멘토링 프로그램도 제공될 예정입니다!👀 마감은 8월 25일이니, 지금 바로 응모서류를 준비해보세요! 예비작가님들의 예술계 진출을 진심으로 응원합니다! ✨__________○ 공모명- IBK 대학생 예비작가 공모전○ 공모분야- 시각예술 전분야(자유주제)○ 공모기간- 2023. 8. 7.(월) ~ 8. 25.(금) 18:00○ 심사절차- 공고 및 접수 (8.7~8.25) ▶ 1차 서류 심사 (8.28~9.1) ▶ 2차 PT심사 (9.8) ▶ 최종 결과 발표 (9.12, 개별 연락)○ 응모 자격- 전국 대학생 (학부 재학생/휴학생), 전공 무관○ 응모 방법- 제출서류 : 공모전 참가 신청서, 개인정보 수집/이용 동의서, 재학증명서, 포트폴리오(파일확장자 : pdf, 30MB 이내)- 접수처 : 전자우편(2023theartplaza@gmail.com) 을 통한 온라인 접수*방문·우편접수는 받지 않음- 출품작 기준 : 전시 및 설치 가능한 작품으로, 평면(100호 이내),입체(180*180*180cm이내) 미디어 작품의 경우 구동 가능한 하드웨어 일체 포함*추후 전시 출품작은 운영사무국과 협의 후 선정○ 심사방법- 1차· 평가위원 : 내/외부 전문가· 평가방법 : 서류평가· 결과 : 2배수 선발- 2차· 평가위원 : 내/외부 전문가· 평가방법 : 대면 PT 평가· 결과 : 최종 10인 선정○ 시상 (2023 더아트프라자 오프닝행사(23.10.11)간 시상식 진행 예정)- 최우수상 (1명) 300만 원- 우수상 (1명) 200만 원- 장려상 (1명) 100만 원- 선정작가상 (7명)- 시상혜택 : 전시 및 멘토링 프로그램 참여 (*미술계 전문가 멘토 참여 예정)__________#IBK대학생예비작가공모전 #더아트프라자 #TheArtPlaza #을지로 #공모전 #전시 #예술 #미술 #전시 #기업은행 #ibk기업은행 #포트폴리오 #응모서류 #마감임박"
17,은행 모임...#농협은행 _ @3eeeeng #기업은행 _ @2jjo__ 전 #하나은행 _ @han_mmin_
18,주문해주셔서 감사합니다🙂#르뱅쿠키 #르뱅쿠키맛집 #쿠키답례품 #어린이답례품 #가격맞춤답례품 #수제쿠키답례품 #답례품 #포천 #양주 #송우리 #레터링케이크 #주문제작케이크 #송우리레터링케이크 #포천레터링케이크 #기업은행 #은행케이크
19,230801 기요우라 #구혜인 #기업은행
20,230805 요래요래 〰️#구혜인 #기업은행
21,"230803 청량해 •• 여름이여따 ,,~💙#구혜인 #기업은행"
22,230803 행운가득 🍀🤍#황민경 #기업은행
23,230801 볼 빵빵 아기 토끼 🐰#최정민 #기업은행
24,#씰링네일 #농협은행 #기업은행...#프리티네일 은사랑입니다❤️ .. 🎈아트젤 12만원->3회. . 🎈손.발 모두가능.. 🎈파츠추가시 조금 비용추가~^^.. ✨️디자인아트시 미리 사진보내주세요~.. ✨️꼼꼼한시술 (*시간넉넉하게잡고오세요).. ✨️100%예약제입니다 ^^.. 📫  순천시 왕지3길 4-59 . ☎️ 010-6622-9060
25,갑자기 오게 된 나는 너무너무 편안하고 행복하게
26,5% 적금 3만원씩#위례버핏 #적금 #기업은행 #ibk중기근로자우대적금
27,😍😍
28,🎉2023 입크 페-스티벌!누구보다 #입크하게 남들과는 다르게!입크 페스티벌은 라인업도 입크하지🤘⠀✔️ZICO✔️DYNAMIC DUO✔️LOCO✔️BIG NAUGHTY✔️JESSI✔️GIRIBOY✔️LEELLAMARZ✔️HYOLYN✔️MEENOI✔️JUTO⠀지금 가장 HIP한 은행은 어디?HIP~Bank! IBK!⠀기업은행…기엽넹(๑˃̵ᴗ˂̵)و⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀자세한 내용은 프로필 링크에서 확인!⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #콘서트 #힙합 #MZ #라인업#지코 #다이나믹듀오 #로꼬 #제시 #빅나티#기리보이 #릴러말즈 #효린 #미노이 #유토
29,#기업은행 #코피온 #그린벨트사업단 #나무심기 #몽골 #봉사활동 #조이몽골리아
30,230805 아기 인걸 못 숨기는편 #구혜인 #기업은행
31,230805 혠니 행복하기 #구혜인 #기업은행
32,230805 아부부 ~ #구혜인 #기업은행
33,아직도 #입크 안했다구?⠀입크 공식 계정에서크은 이벤트 준비했다던데?!⠀이벤트 게시물에서 너희의 씽크빅 돋는 아이디어를 보여줘!⠀2023 입크 페스티벌🎉⠀9월은 IBK와 함께 #입크하게 놀아볼까?⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #콘서트 #힙합 #MZ #라인업#지코 #다이나믹듀오 #로꼬 #제시 #빅나티#기리보이 #릴러말즈 #효린 #미노이 #유토
34,아직도 #입크 안했다구?⠀입크 공식 계정에서크은 이벤트 준비했다던데?!⠀이벤트 게시물에서 너희의 씽크빅 돋는 아이디어를 보여줘!⠀2023 입크 페스티벌🎉⠀9월은 IBK와 함께 #입크하게 놀아볼까?⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #콘서트 #힙합 #MZ #라인업#지코 #다이나믹듀오 #로꼬 #제시 #빅나티#기리보이 #릴러말즈 #효린 #미노이 #유토
35,쿠시마사 본점 이후 정말 오랜만에 간 한남점. 혹여나 맛이 덜 할까싶어 걱정하고 갔는데 너무 맛있게 먹고 줄줄이 예약하고 왔네요♥️
36,어서와! #입크 했니?⠀앞으로 6일 남아따!지금 IBK 홈페이지에서 신청하면입크-한 페스티벌 초대권 증정!⠀2023 입크 페스티벌🎉⠀9월은 IBK와 함께 #입크하게 놀아볼까?⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #콘서트 #힙합 #MZ #라인업#지코 #다이나믹듀오 #로꼬 #제시 #빅나티#기리보이 #릴러말즈 #효린 #미노이 #유토
37,IBK FESTIVAL LINEUP #지코⠀음원을 내기만 하면 차트인‘새삥’ 감각의 소유자 지코!😎⠀음원 깡패 지코의 라이브를 즐기고 싶다면?👀지금 바로 #입크해!⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀자세한 내용은 프로필 링크에서 확인!⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #MZ
38,IBK FESTIVAL LINEUP #다이나믹듀오⠀한국 힙합 씬의 최강 듀오 누구?💣‘BAAAM’한 음악의 소유자 다이나믹듀오!⠀듣자 마자 신나는 다듀의 노래 듣고 싶다면?👀지금 바로 #입크해!⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀자세한 내용은 프로필 링크에서 확인!⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #MZ
39,IBK FESTIVAL LINEUP #빅나티⠀목소리가 이렇게 황홀해도 되나요?😊보기 드문 미성의 소유자 빅나티!⠀빅나티와 함께 스트레스 ‘털어!’ 내고 싶다면? 👀지금 바로 #입크해!⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀자세한 내용은 프로필 링크에서 확인!⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #MZ
40,IBK FESTIVAL LINEUP #제시⠀자타 공인 센언니 그 잡채힙합부터 예능까지 전부 섭렵한 제시⠀제시와 함께 ‘눈누난나’ 신나고 싶다면?👀지금 바로 #입크해!⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀자세한 내용은 프로필 링크에서 확인!⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #MZ
41,IBK FESTIVAL LINEUP #로꼬⠀안 들어 본 사람은 있어도한 번만 들은 사람은 없을걸?이름처럼 LOCO한 매력의 소유자 로꼬🔥⠀‘자꾸 생각나‘는 로꼬의 노래를 듣고 싶다면? 👀지금 바로 #입크해!⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀자세한 내용은 프로필 링크에서 확인!⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #MZ
42,IBK FESTIVAL LINEUP #릴러말즈⠀🎻바이올린부터 보컬에 랩까지!대체 못하는 게 뭐죠? 릴러말즈!⠀릴러말즈와 ‘HIGH’ 텐션 즐기고 싶다면? 👀지금 바로 #입크해!⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀자세한 내용은 프로필 링크에서 확인!#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #MZ
43,"IBK FESTIVAL LINEUP #효린⠀음색의 축복이 끝이 없네 끝이 없어… 🤩폭발적인 가창력, 매력적인 보이스의 효린!⠀효린의 음색 ‘Paradise’에 빠지고 싶다면? 👀지금 바로 #입크해!⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀자세한 내용은 프로필 링크에서 확인!#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #MZ"
44,"IBK FESTIVAL LINEUP #미노이⠀엉뚱 발랄한 매력, 본업 존잘 모먼트로대중들의 관심을 한몸에 받는 미노이⠀미노이의 ‘살랑살랑’한 무대가 보고 싶다면? 👀지금 바로 #입크해!⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀자세한 내용은 프로필 링크에서 확인!#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #MZ"
45,IBK FESTIVAL LINEUP #기리보이⠀힙합이 이렇게 갬성 넘쳐도 되나요?😊느슨해진 힙합씬에 감성 한 스푼 기리보이⠀기리보이만의 감성이 담긴 곡을 듣고 싶다면?👀지금 바로 #입크해!⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀자세한 내용은 프로필 링크에서 확인!#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #MZ
46,IBK FESTIVAL LINEUP #유토⠀난… ㄱㅏ끔…유토 음악을 들으ㅁㅕ 눈물을 흘린ㄷㅏ😥솔직한 가사로 대중들의 ‘쉼터’가 되어주는 유토!⠀유토의 감성 충만한 바이브를 원한다면? 👀지금 바로 #입크해!⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)⠀자세한 내용은 프로필 링크에서 확인!⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #MZ
47,:#농협은행#기업은행#신조어#말이여방구여#동명동맛집#동명동카페
48,#기업은행#대박#지정업체힘든시기에도 노력하는당신!멋집니다^^
49,"#기업은행#IBKFamily#기업지정#명회사원#명도종합건설안녕하십니까,저희 명도종합건설이Ibk 기업은행 Ibk family 기업으로 지정됬습니다탄탄한기업으로 성장하여직원들 고객들 거래처 모든 분들께행복을 전달하는 기업이 되도록노력하겠습니다감사합니다"
50,"🏦 하긴, 나도 태풍뚫고 출근한 K직장인인데 뭘 바라겠어 😭..👩🏻‍💼👨🏻‍💼👩🏻‍💻👨🏻‍💻#서뱅크 #사람들이잘모르는은행이야기 #은행원-#날씨가안좋을땐오늘할일을내일로미룹시다#태풍폭우폭설엔집에있는겁니다 #나오지마세요#전쟁이났대도이번달적금넣으러올것같애#퇴근하고싶습니다-#농협 #신한은행 #우리은행 #국민은행 #대구은행 #기업은행#새마을금고 #우체국 #하나은행 #신협 #산업은행 #경남은행#전북은행 #수협 #부산은행 #제주은행 #광주은행"
51,🌱아산 그린마켓🌱#호서대 #기업은행 #배송 드시는 분들이 좋아하는 구성으로✔️합리적인 가격에 최고의 품질로 제공 해드리고 있습니다.오늘도 정성 듬뿍 담아 만들어 드렸습니다!#아산컵과일 #천안컵과일 예약/문의✔️041-545-0852플러스친구 그린마켓#아산카페 #아산맛집 #아산여행 #아산병원 #아산디저트 #아산과일 #아산과일바구니 #아산과일맛집 #아산과일도시락 #아산과일가게 #아산과일전문점 #아산과일배달 #천안과일바구니 #천안과일전문점 #천안과일선물 #천안과일가게 #천안과일컵
52,"📢 <더아트프라자 대학생 예비작가 공모전> 접수가 시작됐어요!🖼️ <The Art Plaza 2023>의 사전 프로그램으로 진행하는 <더아트프라자 대학생 예비작가 공모전>에서 유망한 청년 작가들의 작품을 기다립니다! 🏆당선자들에게는 상금과 함께 행사 기간 동안 전시 진행 기회와 미술계 전문가의 멘토링 프로그램도 제공될 예정입니다!👀 마감은 8월 25일이니, 지금 바로 응모서류를 준비해보세요! 예비작가님들의 예술계 진출을 진심으로 응원합니다! ✨__________ ○ 공모명- IBK 대학생 예비작가 공모전○ 공모분야- 시각예술 전분야(자유주제)○ 공모기간- 2023. 8. 7.(월) ~ 8. 25.(금) 18:00○ 심사절차 - 공고 및 접수 (8.7~8.25) ▶ 1차 서류 심사 (8.28~9.1) ▶ 2차 PT심사 (9.8) ▶ 최종 결과 발표 (9.12, 개별 연락)○ 응모 자격- 전국 대학생 (학부 재학생/휴학생), 전공 무관○ 응모 방법- 제출서류 : 공모전 참가 신청서, 개인정보 수집/이용 동의서, 재학증명서, 포트폴리오(파일확장자 : pdf, 30MB 이내)- 접수처 : 전자우편(2023theartplaza@gmail.com) 을 통한 온라인 접수*방문·우편접수는 받지 않음- 출품작 기준 : 전시 및 설치 가능한 작품으로, 평면(100호 이내),입체(180*180*180cm이내) 미디어 작품의 경우 구동 가능한 하드웨어 일체 포함*추후 전시 출품작은 운영사무국과 협의 후 선정○ 심사방법- 1차 · 평가위원 : 내/외부 전문가 · 평가방법 : 서류평가 · 결과 : 2배수 선발- 2차 · 평가위원 : 내/외부 전문가 · 평가방법 : 대면 PT 평가 · 결과 : 최종 10인 선정○ 시상 (2023 더아트프라자 오프닝행사(23.10.11)간 시상식 진행 예정)- 최우수상 (1명) 300만 원- 우수상 (1명) 200만 원- 장려상 (1명) 100만 원- 선정작가상 (7명)- 시상혜택 : 전시 및 멘토링 프로그램 참여 (*미술계 전문가 멘토 참여 예정)__________ #IBK대학생예비작가공모전 #더아트프라자 #TheArtPlaza #을지로 #공모전 #전시 #예술 #미술 #전시 #기업은행 #ibk기업은행 #포트폴리오 #응모서류 #마감임박"
53,🎉MBC플러스와 함께 하는 2023 입크페-스티벌!📌IBK 입크 페스티벌-9/16 수원월드컵경기장 보조경기장-신청: IBK 기업은행 홈페이지 또는 i-Bank App에서!-응모기간: 2023.08.01(화)~08.20(일)✔️ZICO✔️DYNAMIC DUO✔️LOCO✔️BIG NAUGHTY✔️JESSI ✔️GIRIBOY...누구보다#입크하게 남들과는 다르게!입크페스티벌은 라인업도 입크하지🤘지금가장HIP한 은행은 어디?HIP~Bank! IBK!기업은행…기엽넹(๑˃̵ᴗ˂̵)و자세한 내용 검색창에 '입크페스티벌'을 검색하세요~#입크페스티벌#입크#IBK #기업은행#페스티벌#뮤직페스티벌#힙합페스티벌#축제#콘서트#힙합#MZ #라인업 #MBC플러스
54,🎉MBC플러스와 함께 하는 2023 입크페-스티벌!📌IBK 입크 페스티벌-9/16 수원월드컵경기장 보조경기장-신청: IBK 기업은행 홈페이지 또는 i-Bank App에서!-응모기간: 2023.08.01(화)~08.20(일)✔️ZICO✔️DYNAMIC DUO✔️LOCO✔️BIG NAUGHTY✔️JESSI ✔️GIRIBOY...누구보다#입크하게 남들과는 다르게!입크페스티벌은 라인업도 입크하지🤘지금가장HIP한 은행은 어디?HIP~Bank! IBK!기업은행…기엽넹(๑˃̵ᴗ˂̵)و자세한 내용 검색창에 '입크페스티벌'을 검색하세요~#입크페스티벌#입크#IBK #기업은행#페스티벌#뮤직페스티벌#힙합페스티벌#축제#콘서트#힙합#MZ #라인업 #MBC플러스
55,#부흥오거리#기업은행#동전교환#은행보안요원#은행직원#용돈저축#통장관리틈틈이 돼지잡아 아이들 통장관리 겸 은행 오는데...오늘은 기업은행 보안요원분께서 친절하시게도 아이들이 동전분리기계 터치도 한번씩만 할 수 있게 해주셨어요~~~사람이 많았으면 안될수 있었는데 넘넘 감사했어요 ^^동전이 돌돌말아 나오는것도 보고ㅋㅋ번호표 뽑고 기다리고내통장에 얼마가 있는지...용돈 얼마나 저축하는지...누가 더 많냐며...ㅋㅋ둘다 똑같다ㅋㅋ
56,💲재💲테💲크의 기본 1일 1수익 입니다.언제까지 지켜보고 있으실 거예요?망설이는 이순간에도 누군가는한발 앞서가고 있습니다~투자느 즐겁게~!!! 수익은 꾸준하게~!!!재무는 탄탄하게~!!!하루 1시간만 투자하세요작은 용기가 인생을 바꿉니다!친절 상담 문의는 프로필 하단 오픈톡으로!!
57,230805 혠니 행복하쎄오 💖#구혜인 #기업은행
58,230801 앙 다문 입 ! 오리인걸 못 숨기는 편 #구혜인 #기업은행
59,230805 단단 혜니 기여워요 ~ #구혜인 #기업은행
60,💜💙2023 입크 페스티벌 신청 왜 안해?⠀지금 프로필 링크에서 응모하면추첨을 통해 입장권 증정!⠀은행은 노잼?힙쟁이 IBK는 대유잼!🤘⠀여름은 끝났어도 페스티벌은 못 참지!9월은 IBK와 함께 입크 가보자고😎⠀입 크-게 벌어지는 #2023입크페스티벌입크페스티벌에서 입크니와 놀아보실?⠀📌 IBK 입크 페스티벌-9/16(토) 수원월드컵 보조경기장- 신청: IBK 기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)-응모기간 : 2023.8.1 (화)~8.20(일)⠀#입크페스티벌 #입크 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#축제 #콘서트 #힙합 #MZ #라인업#지코 #다이나믹듀오 #로꼬 #제시 #빅나티#기리보이 #릴러말즈 #효린 #미노이 #유토
61,폭염에 태풍소식에 걱정입니다만 오늘이 입추입니다. 폭염이 절정이니 가을이 멀지않았습니다. 아무튼 입추를 맞이해서 풍성한 결실 맺으시고 행복한시간 많으시길 기원합니다. Fighting!!!#입추 #입추대길 #태풍 #폭영 #대길 #행운 #기업은행 #ibk #캘리픽마켓 #체인지어스 #김광현작가 #광작가
